AU_ID,ben_use_code
OR_WS_171002060301_02_105629,2
OR_SR_1709000703_02_104012,2
OR_SR_1710020407_02_106213,2
OR_WS_170701050504_02_101999,2
OR_SR_1710020506_02_106053,2
OR_CL_1710020410_106249,3
OR_LK_1708000108_15_100639,15
OR_WS_170900090601_02_104482,2
OR_SR_1710020306_05_105925,5
OR_CL_1710020102_106275,3
OR_WS_170703070401_05_102563,5
OR_WS_171003030201_02_105322,2
OR_WS_171003020401_02_105691,2
OR_WS_170502020106_05_103117,5
OR_SR_1710020608_02_105080,2
OR_SR_1709001102_02_104147,2
OR_LK_1710030404_02_100222,2
OR_WS_170900020405_02_104242,2
OR_WS_170703010906_05_102317,5
OR_SR_1707010201_05_101455,5
